Fecha,ALIMENTOS Y BEBIDAS,SUMINISTROS INDUSTRIALES,COMBUSTIBLES Y LUBRICANTES,BIENES DE CAPITAL,EQUIPO DE TRANSPORTE Y SUS PIEZAS Y ACCESORIOS,ARTÍCULOS DE CONSUMO
1998-01-01,10.034004,61.002043,9.011581,47.037628,37.307597,14.528956
1998-02-01,10.470943,49.4477,7.134247,34.242088,33.658539,11.477467
1998-03-01,16.744658,53.403069,10.321997,35.470606,41.745522,17.712337
1998-04-01,17.213104,52.044772,11.233654,43.279578,40.185483,14.302385
1998-05-01,12.315783,50.755092,6.771414,45.290886,36.459596,15.833475
1998-06-01,17.251241,102.587758,7.099422,57.269511,35.194713,19.840332
1998-07-01,15.907125,67.241536,8.74729,57.527659,30.356635,18.078453
1998-08-01,13.274457,39.998348,7.709561,43.351103,49.547887,16.998138
1998-09-01,16.596381,66.184067,7.651498,49.392249,115.446469,15.781486
1998-10-01,16.862232,64.707332,9.495588,49.802922,141.360369,17.587003
1998-11-01,11.77263,56.835161,8.280815,57.707777,60.454863,16.921794
1998-12-01,16.22927,49.970191,7.339886,38.990541,80.404013,16.15818
1999-01-01,11.399675,34.548403,3.6676,56.719982,33.972936,9.943069
1999-02-01,9.749663,39.194395,4.187099,52.609865,67.327909,12.856289
1999-03-01,19.787453,46.738557,5.946866,69.563703,97.006827,13.247818
1999-04-01,11.645749,36.350793,4.399814,43.866326,85.410512,13.507896
1999-05-01,22.160239,39.467801,5.281857,38.712155,19.780656,12.433987
1999-06-01,12.597062,43.572157,5.638846,33.450767,16.592288,12.685814
1999-07-01,15.963281,50.3612,5.942195,37.368831,12.75333,14.022655
1999-08-01,17.000514,52.359282,7.259035,36.224835,21.335023,14.416335
1999-09-01,16.626242,49.646126,5.832515,34.664312,82.207234,21.144197
1999-10-01,16.658801,49.253225,7.274573,58.508841,15.620585,18.935718
1999-11-01,18.27482,58.86174,9.756752,53.826916,17.246279,28.63721
1999-12-01,19.384788,55.75868,9.146632,54.8126,27.617919,35.892684
2000-01-01,15.244858,50.317203,8.468794,38.636229,32.86727,22.618396
2000-02-01,17.564859,50.612497,12.20429,37.181854,49.708842,24.406902
2000-03-01,16.924313,51.18198,8.17158,31.178268,16.939792,24.790032
2000-04-01,15.643502,43.295346,6.570043,29.859741,91.743145,20.975172
2000-05-01,28.863594,61.218243,6.871063,37.837087,11.227694,25.541936
2000-06-01,28.519808,56.986387,8.028897,48.140064,11.580835,21.6245
2000-07-01,19.614417,46.696036,11.329138,43.319171,10.035846,18.459531
2000-08-01,24.65496,56.842871,9.467191,45.449483,37.201101,24.809864
2000-09-01,21.671664,45.048724,8.704855,31.616327,10.324104,20.439369
2000-10-01,22.268902,51.244527,10.483709,34.999812,9.197467,19.805901
2000-11-01,26.824689,54.409757,12.663946,38.310149,9.139126,25.027528
2000-12-01,19.744922,47.288133,17.156431,31.482659,9.728161,28.088955
2001-01-01,14.63226,49.308174,10.284089,23.40711,11.509762,21.982472
2001-02-01,13.200514,43.110791,12.92876,23.819946,10.926616,18.039467
2001-03-01,20.713744,46.849653,11.265356,31.429032,17.969667,18.993273
2001-04-01,23.697822,42.238483,11.70987,26.755208,9.739991,17.928575
2001-05-01,28.894811,51.315118,14.140909,32.878195,12.619298,23.529391
2001-06-01,22.625282,45.420498,10.079517,37.891614,8.474482,18.255292
2001-07-01,23.075348,43.87834,7.756427,26.531646,8.885612,18.822706
2001-08-01,23.55365,50.614042,8.474857,41.3234,20.526306,21.202079
2001-09-01,17.862017,42.743242,6.020232,37.855321,7.421157,20.300521
2001-10-01,18.549845,56.196614,7.803325,41.348988,9.344429,22.578399
2001-11-01,17.532977,58.157851,8.103674,30.251534,9.413525,23.328265
2001-12-01,19.665735,50.86208,6.383049,29.149355,9.210237,23.167094
